PLAYER_ID,player,pos,team,gp,g,a,p,soi,+/-
8479671,Mathieu Olivier,R,Nashville Predators,30,3,2,5,19657,-1
8478109,Victor Olofsson,L,Buffalo Sabres,56,13,19,32,58439,-23
8475200,Dmitry Orlov,D,Washington Capitals,51,8,14,22,60630,16
8471698,T.J. Oshie,R,Washington Capitals,53,22,21,43,57443,-3
8476443,Xavier Ouellet,D,Montréal Canadiens,6,0,0,0,5202,-1
8471214,Alex Ovechkin,L,Washington Capitals,45,24,18,42,52655,-7
8474157,Max Pacioretty,L,Vegas Golden Knights,48,24,27,51,51665,20
8476419,Jean-Gabriel Pageau,C,New York Islanders,54,14,14,28,54400,10
8476292,Ondrej Palat,L,Tampa Bay Lightning,55,15,31,46,57603,1
8475151,Kyle Palmieri,R,"New Jersey Devils,New York Islanders",51,10,11,21,50715,-5
8478550,Artemi Panarin,L,New York Rangers,42,17,41,58,49500,14
8475209,Richard Panik,R,"Washington Capitals,Detroit Red Wings",48,4,9,13,35613,-9
8476975,Cedric Paquette,C,"Ottawa Senators,Carolina Hurricanes",47,4,4,8,26357,-12
8476892,Colton Parayko,D,St. Louis Blues,32,2,10,12,40956,-2
8470610,Zach Parise,L,Minnesota Wild,45,7,11,18,37656,7
8482369,Brinson Pasichnuk,D,San Jose Sharks,4,0,0,0,2786,-1
8477956,David Pastrnak,R,Boston Bruins,48,20,28,48,53609,10
8474688,Greg Pateryn,D,"Minnesota Wild,Colorado Avalanche,San Jose Sharks",13,0,3,3,11028,0
8479974,Nolan Patrick,C,Philadelphia Flyers,52,4,5,9,41426,-30
8477426,Nick Paul,L,Ottawa Senators,56,5,15,20,54036,5
8470794,Joe Pavelski,C,Dallas Stars,56,25,26,51,63914,22
8476871,Tanner Pearson,L,Vancouver Canucks,51,10,8,18,52240,-15
8476285,Matthew Peca,C,Ottawa Senators,5,0,1,1,2667,1
8478967,Lane Pederson,C,Arizona Coyotes,15,1,2,3,9969,-2
8479369,Andrew Peeke,D,Columbus Blue Jackets,11,0,3,3,11321,-4
8476917,Adam Pelech,D,New York Islanders,56,4,10,14,70716,15
8473618,Mathieu Perreault,L,Winnipeg Jets,56,9,10,19,39340,6
8474102,David Perron,L,St. Louis Blues,56,19,39,58,62325,6
8470621,Corey Perry,R,Montréal Canadiens,49,9,12,21,40393,-4
8477488,Brett Pesce,D,Carolina Hurricanes,55,4,21,25,75214,14
8477464,Nic Petan,C,Toronto Maple Leafs,7,0,1,1,4316,-2
